****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.020     0.158     0.000     0.006    -2.406     0.032     1.020  1026.913 98033.401    34.924    10.011     0.020     1.000
         2     1.041     0.161     0.000     0.011    -2.412     0.064     1.041  1026.854 96105.590    34.850    10.022     0.020     1.000
         3     1.061     0.164     0.000     0.017    -2.417     0.097     1.061  1026.795 94215.797    34.777    10.032     0.020     1.000
         4     1.083     0.167     0.000     0.023    -2.423     0.130     1.083  1026.738 92363.270    34.706    10.043     0.020     1.000
         5     1.104     0.170     0.000     0.029    -2.429     0.165     1.104  1026.682 90547.268    34.636    10.053     0.020     1.000
         6     1.127     0.173     0.000     0.035    -2.435     0.201     1.127  1026.627 88767.069    34.568    10.062     0.020     1.000
         7     1.149     0.176     0.000     0.041    -2.441     0.239     1.149  1026.573 87021.962    34.501    10.072     0.020     1.000
         8     1.172     0.179     0.000     0.047    -2.448     0.277     1.172  1026.520 85311.252    34.435    10.081     0.020     1.000
         9     1.196     0.182     0.000     0.053    -2.454     0.317     1.196  1026.468 83634.257    34.370    10.091     0.020     1.000
        10     1.220     0.185     0.000     0.060    -2.461     0.358     1.220  1026.417 81990.311    34.307    10.100     0.020     1.000
        11     1.244     0.189     0.000     0.066    -2.468     0.401     1.244  1026.367 80378.758    34.245    10.108     0.020     1.000
        12     1.269     0.192     0.000     0.073    -2.475     0.445     1.269  1026.318 78798.957    34.184    10.117     0.020     1.000
        13     1.294     0.195     0.000     0.080    -2.482     0.491     1.294  1026.271 77250.279    34.125    10.125     0.020     1.000
        14     1.320     0.199     0.000     0.086    -2.489     0.538     1.320  1026.224 75732.109    34.066    10.133     0.020     1.000
        15     1.347     0.202     0.000     0.093    -2.496     0.586     1.347  1026.178 74243.843    34.009    10.141     0.020     1.000
        16     1.374     0.206     0.000     0.100    -2.503     0.637     1.374  1026.133 72784.889    33.953    10.149     0.020     1.000
        17     1.401     0.209     0.000     0.108    -2.511     0.688     1.401  1026.089 71354.667    33.898    10.157     0.020     1.000
